No	Pathogen	Pathogen_fullname	Taxonomy ID	Isolate_genome	Fragment								
1	CLBV	Citrus leaf blotch virus	129141	GCA_000852305.1	NC_003877.1								
1	CLBV	Citrus leaf blotch virus	557419	GCA_031123385.1	FJ009367.1								
2	CSDaV	Citrus sudden death-associated virus	312008	GCA_000858145.1	NC_006950.1								
3	CVd-Ia	Citrus viroid-Ia	72705	GCA_031112995.1	AY226157.1								
4	CVd-II	Citrus viroid-II	12893	GCA_000847785.1	NC_001351.1								
4	CVd-II	Citrus viroid-II	12893	GCA_027574605.1	OP885209.1								
5	CVd-III	Citrus viroid-III	551523	GCA_000856305.1	NC_003264.1								
5	CVd-III	Citrus viroid-III	41862	GCA_031109325.1	AF184148.1								
5	CVd-III	Citrus viroid-III	110139	GCA_031113195.1	AF184149.1								
6	CVd-IV	Citrus viroid-IV	12898	GCA_000852785.1	NC_003539.1								
7	CVd-V	Citrus viroid-V	459949	GCA_000878955.1	NC_010165.1								
8	CVD-VI	Citrus viroid-VI	697192	GCA_000884515.1	NC_004359.1								
9	CVV	Citrus variegation virus	37127	GCA_000870745.1	NC_009537.1								
9	CVV	Citrus variegation virus	37127	GCA_000870745.1	NC_009538.1								
9	CVV	Citrus variegation virus	37127	GCA_000870745.1	NC_009536.1								
10	CYVaV	Citrus yellow vein-associated virus	1297894	GCA_003726535.1	NC_040311.1								
11	Canker	Xanthomonas axonopodis pv. maculifoliigardeniae	487832	GCA_041519315.1	NZ_CP167998.1								
11	Canker	Xanthomonas axonopodis pv. maculifoliigardeniae	487832	GCA_041519315.1	NZ_CP167999.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000001.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000002.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000003.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000004.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000005.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000006.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000007.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000008.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000009.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000010.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000011.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000012.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000013.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000014.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000015.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000016.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000017.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000018.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000019.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000020.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000021.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000022.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000023.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000024.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000025.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000026.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000027.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000028.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000029.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000030.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000031.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000032.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000033.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000034.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000035.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000036.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000037.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000038.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000039.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000040.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000041.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000042.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000043.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000044.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000045.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000046.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000047.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000048.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000049.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000050.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000051.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000052.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000053.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000054.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000055.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000056.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000057.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000058.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000059.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000060.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000061.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000062.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000063.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000064.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000065.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000066.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000067.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000068.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000069.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000070.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000071.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000072.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000073.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000074.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000075.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000076.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000077.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000078.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000079.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000080.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000081.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000082.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000083.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000084.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000085.1								
11	Xanthomonas axonopodis	Xanthomonas axonopodis pv. cajani strain LMG558	487827	GCA_002019105.1	LOKQ01000086.1								
